STATE_CODE,EXPENSE_2012,EXPENSE_2013,EXPENSE_2014,EXPENSE_2015
1,587268.2365,1213003.721,1116591.746,484098.4995
4,158208.996,363041.195,422673.834,192376.492
5,425622.45,835377.895,772620.255,402686.559
6,1322245.331,2523910.197,2722115.99,1214840.308
8,223021.59,431038.6575,439097.9395,207186.87
9,139746.4915,251391.5415,320480.9575,169416.0215
10,13726.13,27141.95,37414.96,17085.42
11,22503.69,64065.573,69826.2675,20598.38
12,1598011.833,3655311.688,3966889.724,2101294.069
13,556308.4725,1109728.444,1232460.675,592025.4285
16,91774.87,144728.43,140760.0975,68006.29
17,762198.5085,1612559.713,1637332.23,797704.5945
18,180888.7575,367509.945,331195.095,207389.8915
19,188459.37,432778.72,434386.645,236932.905
20,268038.6995,548672.8885,562658.822,282124.4525
21,442254.296,781265.507,761706.7205,341620.257
22,600141.4925,1132036.813,1173365.518,512924.995
23,18163.75,28809.44,38206.08,15904.9
24,176070.3725,401761.668,466331.7395,211038.08
25,183490.659,323810.663,389013.262,203556.606
26,564899.698,1095488.196,1187177.371,547079.4065
27,459259.0255,1037243.532,1030084.149,352990.4675
28,446715.8575,902146.19,923127.81,436644.1585
29,660847.451,1168391.4,1349720.812,525561.245
30,49007.475,69554.43,59743.31,23638.01
31,220009.845,398365.88,389551.085,175308.595
32,201749.3995,200339.4085,177011.7525,92012.9595
33,37001.1015,65654.71,70792.59,31923.21
34,188886.6705,360798.449,493725.6665,241569.141
35,130101.9775,295392.1575,290691.665,148128.7225
36,500631.956,977764.8045,1118185.349,476982.6985
37,225276.37,438766.02,503072.5755,234249.4
38,31745.945,55400.565,53607.95,22719.95
39,636587.127,1654065.54,1747178.455,1082033.167
40,408581.91,822414.945,827000.229,423511.11
41,73755.055,157439.2325,152943.505,86496.85
42,229263.5235,462501.1545,516919.568,292385.6045
44,11442.64,24125.64,30976.55,13307.69
45,216007.671,407515.625,465175.5625,180956.1655
46,55696.9875,128478.46,130353.19,72107.915
47,645609.712,1219941.151,1208294.61,597060.145
48,1058247.031,2276385.623,2333166.897,1201609.943
49,284047.995,482587.7925,442173.8805,159497.228
50,17865.32,37305.84,41209.96,22460.24
51,250559.1165,481677.4985,554188.7835,228582.31
53,190579.9225,405020.5555,402522.626,220117.3975
54,124709.8545,259610.8185,282603.255,157429.5635
55,399807.2925,1002640.122,1056144.595,405314.074
56,27411.01,51551.5,50581.3,22092.62
